,Context,Word_Vect,Text_Response
0,What is Agile 24x7,agile,It is a project management tool which helps your team collaboration
1,What is Agile Project Management,agile project management,Agile project management is an iterative process to your projects and ensures feedback can be acted on quickly and that responsive changes can be made at each stage of a sprint or product cycle
2,What is a Sprint Cycle,sprint cycle,It is the time frame defined by your team in order to Finish a certain amount of User stories.
3,How are you different from other Project Management Tools.,different project management tool,We have an all in one tool that allows project teams to work quickly and collaboratively within the timeframe on one platform.
4,I am thinking of buying Agile,think buying agile,"Sure, let us know how we can help you decide."
5,I would like a demo,would like demo,"Sure please let us know the contact person's availability and email or phone number, so that we can arrange the demo for you."
6,I am researching on Agile,research agile,"No Problem, let me know what questions can I answer."
7,Human Please     ,human please,"Great, let's get you connected! Just in case we get disconnected, can we have your email? "
8,Representative,representative,Hey there! Let us know your email address so that we can follow up in case we get disconnected.
9,What are the benefits of agile project management?,benefit agile project management,"More adaptability (and less risk), Greater customer satisfaction, Happier teams"
10,Do you have certifications programs,certification program,Yes
11,Agile vs Scrum: what’s the difference?,agile v scrum difference,Scrum is undoubtedly one of the most popular agile methodologies used today
12,"Agile vs Scrum, Which one is better",agile v scrum well,"We help with the combination tool, and Agile24x7 is what you need in order for you to get the best of the two."
13,Do you have Agile project management with Scrum,agile project management scrum,Yes
14,what are the different access,different access,Admin and User
15,Roles In Agile 24x7,role agile,"Product Owner, Scrum Master, Contributer"
16,Product Owner,product owner,The person responsible for maximizing the value of the work completed by the Development Team. 
17,Scrum Master,scrum master,"Works to facilitate and support the Scrum process across the Product Owner, the Development Team, and importantly, the organization at large."
18,Contributer,contributer,A small group of people who are ultimately working on The Product Development
19,Backlog,backlog,"Everything that the team needs to do (for example, everything that’s needed in a product) is listed out in a Backlog and ranked in order of priority by the Product Owner or the Scrum Master"
20,What is Sprint,sprint,Each sprint has a predefined Sprint Goal. Items from the Backlog are identified and worked on as part of each Sprint.
21,Sprint Planning ,sprint planning,"Before a Sprint can happen, you need to do some Sprint Planning to figure out what your Sprint Goal will be and how you’re going to accomplish it."
22,What is a Scrum Call,scrum call,"Once the Sprint is underway, the Development Team has a short daily standup — called a Daily Scrum — to report on the previous day’s progress, what they’ll be focusing on today, and any risks they’ve identified."
23,End of Sprint Cycle,sprint cycle,"At the end of each Sprint, the team holds a Sprint Review (sort of like a Sprint-specific post-mortem meeting) to assess their performance and inform the next round of Sprint Planning."
24,Which agile methodology is right for me?,agile methodology right,Agile24x7 If you’re still trying to decide which methodology you should go with — agile vs Scrum vs Kanban vs Scrumban vs some other hybrid? 
25,What will my Agile Software subscription cost?,agile software subscription cost,It Varies with the number of users and subscription model
26,Can I try Agile Software for free?,try agile software free,"Of Course, we have a few trial plans."
27,How are users counted towards billing?,user count towards bill,"You can add and remove users as your team changes. At the end of each monthly billing cycle, you will be billed for the following month's subscription based on the exact number of Agile Software users you have."
28,Do you offer annual subscriptions?,offer annual subscription,Yes
29,What payment options do you accept?,payment option accept,"Monthly subscriptions are payable by credit card (MasterCard or Visa) Annual subscriptions can be paid via credit card, bank transfer, or check."
30,What happens if I'm not satisfied with my Agile Software purchase?,happens satisfy agile software purchase,We can see how to help you.
31,What training solutions are available?,train solution available,Agile offers instructor-led training courses.
32,How do I purchase Agile products?,purchase agile product,Cloud products are sold either monthly or annually. Data Center products can be quoted and purchased directly
33,What is the user limit for Agile?,user limit agile,Depends on the Plan you buy.
34,Can I change the email address in my Agile,change email address agile,YES
35,Is Agile software open source?,agile software open source,No
36,Where can I sign up for a trial?,sign trial,agile24x7.com
37,I have more questions about Agile,question agile,"Great, because we have more answers! Please give us your email or phone number and we can help you."
38,Do you have Boards,board,Yes both in Active Sprints and Backlogs
39,"Want to use same User story or Task for multiple sprint, can we do this?",use user story task multiple sprint,Yes
40,Is Agile available in app stores,agile available app store,Yes
41,Do You have Online/offline mode,onlineoffline mode,yes
42,Do you have online support,online support,Yes
43,Do you have weekend Support,weekend support,Yes
44,Do you have a community to sort issues,community sort issue,Yes
45,What's the best way to get started? ,best way get start,Sign-Up its free
46,What if I have a billing question? ,bill question,"For any questions around billing or licensing, please visit our dedicated support team."
47,What if I have other questions? ,question,Feel Free to email us or call us.
48,I can't log into my Agile account.,nt log agile account,"Please give us your email, support person will get in touch with you."
49,Do I have a dedicated Account support Team.,dedicate account support team,"No, it is based on a demand"
,what do you mean by Agile,,It is a project management tool which helps your team collaboration
1,what do you mean Agile Project Management,agile project management,Agile project management is an iterative process to your projects and ensures feedback can be acted on quickly and that responsive changes can be made at each stage of a sprint or product cycle
